# Program:featureCounts v2.0.6; Command:"featureCounts" "-g" "gene_id" "-a" "annotation.gtf" "-o" "SRR" "SRR941816.bam" "SRR941817.bam" "SRR941818.bam" "SRR941819.bam" 
Geneid	SRR941816.bam	SRR941817.bam	SRR941818.bam	SRR941819.bam
gene-YBL074C	192	98	38	95
gene-YNCB0003W	4	8	1	8
gene-YBL072C	1919	3394	1814	6761
gene-YBL071C-B	7	9	10	37
gene-YBL071W-A	324	165	214	797
gene-YBL071C	140	89	88	375
gene-YBL069W	135	191	235	833
gene-YBL068W	285	521	311	1166
gene-YBL067C	995	676	91	346
gene-YBL066C	506	821	67	209
gene-YBL064C	11473	7172	155	609
gene-YBL063W	71	116	9	48
gene-YBL061C	157	185	142	536
gene-YBL060W	159	190	50	190
gene-YBL059C-A	220	563	14	97
gene-YBL059W	38	102	20	63
gene-YBL058W	2709	2608	126	564
gene-YBL057C	170	371	72	356
gene-YBL056W	479	1371	198	659
gene-YBL055C	290	278	108	315
gene-YBL054W	304	200	400	1114
gene-YBL052C	75	89	39	124
gene-YBL051C	553	873	71	208
gene-YBL050W	2179	1827	167	597
gene-YBL049W	2306	708	132	297
gene-YBL048W	583	202	32	103
gene-YBL047C	2398	2291	88	310
gene-YBL046W	212	285	42	145
gene-YBL045C	7552	9998	201	756
gene-YBL044W	2	1	1	7
gene-YBL043W	103	167	38	89
gene-YBL042C	354	200	905	2285
gene-YBL041W	2475	2986	210	903
gene-YBL040C	325	532	85	364
gene-YBL039W-B	268	210	3	13
gene-YBL039C	46	148	1358	4373
gene-YBL038W	434	930	117	447
gene-YBL037W	260	297	26	127
gene-YBL036C	544	567	249	1034
gene-YBL035C	33	149	17	44
gene-YBL034C	118	146	21	140
gene-YBL033C	612	758	392	1019
gene-YBL032W	143	289	103	376
gene-YBL031W	4	25	3	31
gene-YBL030C	2379	8135	408	1484
gene-YBL029C-A	1678	1688	75	203
gene-YBL029W	453	409	460	1217
gene-YBL028C	53	82	524	1967
gene-YBL027W	2511	4874	3567	14852
gene-YBL026W	621	703	179	591
gene-YBL025W	114	100	56	187
gene-YBL024W	115	290	726	2167
gene-YBL023C	140	327	104	228
gene-YBL022C	810	1633	75	282
gene-YBL021C	44	140	36	134
gene-YBL020W	189	252	77	341
gene-YBL019W	298	365	42	118
gene-YBL018C	26	53	25	94
gene-YBL017C	1099	1300	65	239
gene-YBL016W	42	30	1	5
gene-YBL015W	5083	4112	83	186
gene-YNCB0004W	0	0	0	0
gene-YNCB0005C	0	0	0	0
gene-YBL014C	129	165	159	587
gene-YBL013W	20	23	4	16
gene-YBL011W	196	262	139	469
gene-YBL010C	37	146	19	85
gene-YBL009W	90	285	36	131
gene-YBL008W-A	1	2	1	0
gene-YBL008W	50	70	31	127
gene-YBL007C	1882	1926	114	436
gene-YBL006C	421	605	91	334
gene-YBL005W	183	190	49	178
gene-YBL005W-A	0	0	0	0
gene-YBL005W-B	8	5	1	3
gene-YNCB0006W	0	0	0	0
gene-YBL004W	282	326	459	1468
gene-YBL003C	106	3142	18	1797
gene-YBL002W	76	2028	68	2154
gene-YBL001C	2090	1754	49	159
gene-YBR001C	559	448	63	242
gene-YBR002C	92	100	146	669
gene-YBR003W	74	197	20	87
gene-YBR004C	1129	639	103	328
gene-YBR005W	1196	920	75	284
gene-YBR006W	829	818	22	83
gene-YBR007C	67	116	54	180
gene-YBR008C	250	285	63	185
gene-YBR009C	416	4404	128	2532
gene-YBR010W	831	5738	778	4769
gene-YBR011C	3326	6556	780	3331
gene-YBR012W-A	0	0	0	0
gene-YBR012W-B	7	3	1	3
gene-YBR013C	25	18	23	57
gene-YNCB0007W	0	0	0	0
gene-YBR014C	349	490	161	557
gene-YBR015C	586	936	248	794
gene-YBR016W	1775	1473	88	345
gene-YBR017C	460	636	321	1094
gene-YBR018C	24	16	1	8
gene-YBR019C	5	4	0	5
gene-YNCB0008W	18	13	8	21
gene-YBR020W	0	0	0	0
gene-YBR021W	132	81	489	1717
gene-YBR022W	98	149	41	133
gene-YBR023C	180	198	171	507
gene-YBR024W	281	518	29	82
gene-YBR025C	6116	6691	1566	5681
gene-YBR026C	12436	7803	174	386
gene-YBR027C	64	23	9	12
gene-YBR028C	33	60	159	475
gene-YBR029C	1170	1407	204	672
gene-YBR030W	147	229	120	401
gene-YBR031W	916	2540	1031	3748
gene-YBR032W	7	7	2	23
gene-YBR033W	122	257	24	188
gene-YBR034C	135	137	706	1685
gene-YBR035C	1672	1995	146	537
gene-YNCB0009C	1	2	2	3
gene-YNCB0010W	835	1407	56	196
gene-YBR036C	3621	3218	232	792
gene-YBR037C	66	272	17	72
gene-YBR038W	398	605	9	64
gene-YBR039W	7827	9483	189	760
gene-YBR040W	0	1	0	1
gene-YBR041W	147	194	57	241
gene-YBR042C	23	55	31	133
gene-YBR043C	892	518	116	408
gene-YBR044C	215	243	37	134
gene-YNCB0011C	0	1	0	0
gene-YBR045C	522	244	14	48
gene-YBR046C	3710	3641	73	318
gene-YBR047W	418	808	25	116
gene-YBR048W	1181	2242	1891	7482
gene-YBR049C	440	702	79	267
gene-YBR050C	4878	2749	58	105
gene-YBR052C	507	1190	11	109
gene-YBR053C	2583	2799	34	131
gene-YBR054W	11363	5479	794	2887
gene-YBR055C	111	177	131	379
gene-YNCB0012W	0	0	1	0
gene-YBR056W	3721	3218	50	162
gene-YNCB0013W	0	0	0	0
gene-YBR056W-A	1347	796	25	96
gene-YBR057C	789	652	137	388
gene-YBR058C	1341	1058	120	426
gene-YBR058C-A	570	702	112	361
gene-YBR059C	2134	1680	54	214
gene-YBR060C	136	271	96	335
gene-YBR061C	123	161	296	923
gene-YBR062C	901	950	60	225
gene-YBR063C	122	109	166	686
gene-YBR065C	186	125	136	402
gene-YBR066C	138	389	28	108
gene-YBR067C	32216	12330	419	687
gene-YBR068C	6451	2300	1717	3643
gene-YBR069C	8	4	5	11
gene-YNCB0014W	13	6	16	27
gene-YBR070C	121	377	3	20
gene-YBR071W	1053	1436	19	90
gene-YBR072W	125180	91655	1444	3269
gene-YBR072C-A	2	0	0	3
gene-YBR073W	30	58	9	16
gene-YBR074W	169	235	155	488
gene-YBR076W	286	148	3	16
gene-YBR077C	707	646	69	202
gene-YBR078W	3664	8463	570	2263
gene-YBR079C	1090	1810	897	2637
gene-YBR080C	212	500	117	357
gene-YBR081C	530	761	77	316
gene-YNCB0015W	0	0	0	0
gene-YNCB0016W	0	0	0	0
gene-YBR082C	1184	4420	711	2360
gene-YBR083W	379	250	36	101
gene-YBR084W	117	622	441	1525
gene-YBR084C-A	2780	4201	2516	10336
gene-YBR085W	2	6	8	16
gene-YBR085C-A	15892	12835	377	1133
gene-YBR086C	984	1030	108	408
gene-YBR087W	78	402	27	142
gene-YBR088C	41	449	9	76
gene-YBR089C-A	1020	1203	18	69
gene-YBR090C	39	32	1	4
gene-YBR091C	30	58	26	125
gene-YBR092C	75	220	19	77
gene-YBR093C	179	173	17	36
gene-YBR094W	245	264	30	105
gene-YBR095C	315	477	84	320
gene-YBR096W	51	169	50	280
gene-YBR097W	292	285	11	59
gene-YBR098W	122	164	20	65
gene-YBR101C	6502	16370	194	944
gene-YBR102C	237	321	48	182
gene-YBR103W	467	578	55	195
gene-YBR104W	235	218	122	568
gene-YBR105C	237	278	1723	4517
gene-YBR106W	285	1411	841	3150
gene-YBR107C	57	74	32	142
gene-YBR108W	601	573	51	155
gene-YBR109C	2911	3302	274	1147
gene-YBR110W	257	437	47	160
gene-YBR111C	1339	1607	68	301
gene-YBR111W-A	219	272	62	213
gene-YBR112C	157	322	122	457
gene-YBR114W	170	154	385	1094
gene-YBR115C	671	701	181	604
gene-YBR117C	2039	1127	61	190
gene-YBR118W	8322	14263	3073	11181
gene-YBR119W	511	550	125	454
gene-YBR120C	359	509	35	131
gene-YBR121C	1577	3612	1024	3125
gene-YBR122C	283	937	92	397
gene-YBR123C	328	384	44	162
gene-YBR125C	450	398	36	162
gene-YBR126C	6099	5617	99	265
gene-YBR126W-A	906	1272	87	320
gene-YBR127C	7130	6292	776	2701
gene-YBR128C	312	263	4	36
gene-YBR129C	733	434	64	241
gene-YBR130C	90	241	72	344
gene-YBR131W	22	43	48	156
gene-YBR132C	640	550	8	39
gene-YBR133C	139	178	66	291
gene-YBR135W	206	303	76	336
gene-YBR136W	150	159	23	62
gene-YBR137W	732	1142	20	146
gene-YBR138C	306	302	7	21
gene-YBR139W	3297	2372	39	87
gene-YBR140C	1693	1202	56	200
gene-YBR141C	68	119	137	363
gene-YBR142W	188	241	446	1267
gene-YBR143C	1008	1993	1308	4190
gene-YBR144C	5	0	0	2
gene-YBR145W	526	1239	16	67
gene-YBR146W	251	1043	85	365
gene-YBR147W	416	358	7	24
gene-YBR148W	37	35	1	10
gene-YBR149W	7834	7452	104	350
gene-YBR150C	593	412	43	101
gene-YBR151W	1341	1691	81	312
gene-YBR152W	96	95	66	156
gene-YBR153W	100	167	83	285
gene-YBR154C	251	556	593	2308
gene-YBR155W	70	91	299	919
gene-YBR156C	82	207	29	88
gene-YBR157C	11	22	1	12
gene-YBR158W	110	202	14	82
gene-YBR159W	303	607	75	409
gene-YBR160W	155	418	162	598
gene-YBR161W	53	49	77	459
gene-YBR162C	829	1707	247	1369
gene-YBR162W-A	317	419	123	569
gene-YBR163W	67	64	93	351
gene-YBR164C	171	298	124	555
gene-YBR165W	532	388	99	342
gene-YBR166C	155	247	71	417
gene-YBR167C	304	224	80	266
gene-YBR168W	152	85	29	123
gene-YBR169C	12254	13923	155	468
gene-YBR170C	366	515	82	245
gene-YBR171W	136	238	150	686
gene-YBR172C	934	1156	336	1207
gene-YBR173C	3022	2901	158	671
gene-YBR175W	12	9	48	230
gene-YBR176W	78	185	38	210
gene-YBR177C	8423	9560	305	979
gene-YBR179C	1263	844	110	291
gene-YBR180W	45	34	17	32
gene-YBR181C	688	2066	1883	7050
gene-YBR182C	58	60	49	165
gene-YBR182C-A	0	2	2	11
gene-YBR183W	123	99	87	316
gene-YBR184W	16	33	5	20
gene-YBR185C	53	402	38	165
gene-YBR186W	60	56	21	54
gene-YBR187W	41	131	504	1905
gene-YBR188C	206	261	38	137
gene-YBR189W	649	2982	3725	14237
gene-YBR191W	983	3273	2792	11043
gene-YBR192W	76	109	105	459
gene-YBR193C	546	478	52	231
gene-YBR194W	56	82	14	88
gene-YBR195C	18	18	132	452
gene-YBR196C	15481	8655	1344	4144
gene-YBR196C-A	7	2	0	9
gene-YBR196C-B	9	10	3	8
gene-YBR197C	182	90	40	94
gene-YBR198C	366	473	242	740
gene-YBR199W	1456	1647	172	565
gene-YBR200W	383	390	103	315
gene-YBR200W-A	13	7	1	0
gene-YBR201W	124	269	2	25
gene-YBR201C-A	184	64	5	7
gene-YBR202W	272	431	39	135
gene-YBR203W	581	492	44	51
gene-YBR204C	1095	673	15	73
gene-YBR205W	415	689	59	218
gene-YBR207W	1019	1542	104	281
gene-YBR208C	491	664	32	66
gene-YBR209W	160	103	12	24
gene-YNCB0017C	0	0	0	0
gene-YNCB0018W	0	0	0	0
gene-YBR210W	302	209	43	193
gene-YBR211C	73	68	37	113
gene-YBR212W	3591	1238	100	238
gene-YBR213W	66	62	30	89
gene-YBR214W	5286	4591	60	155
gene-YBR215W	349	407	88	300
gene-YBR216C	210	445	37	158
gene-YBR217W	165	139	32	103
gene-YBR218C	1084	1580	273	805
gene-YBR219C	0	0	0	1
gene-YBR220C	125	171	54	167
gene-YBR221C	4934	5233	136	657
gene-YBR221W-A	25	90	1	8
gene-YBR222C	2413	6582	193	781
gene-YBR223C	249	160	12	37
gene-YBR225W	650	355	30	132
gene-YBR227C	128	302	46	241
gene-YBR228W	215	284	45	163
gene-YBR229C	208	244	45	146
gene-YBR230C	7360	7076	155	452
gene-YBR230W-A	441	296	6	16
gene-YNCB0019C	221	175	15	63
gene-YBR231C	114	97	74	249
gene-YBR233W	14	39	10	81
gene-YBR233W-A	36	45	33	76
gene-YBR234C	1403	2430	74	432
gene-YBR235W	563	330	55	197
gene-YBR236C	315	495	68	312
gene-YBR237W	615	510	107	372
gene-YBR238C	5	31	144	497
gene-YBR239C	71	85	93	281
gene-YBR240C	47	64	15	30
gene-YBR241C	2404	1124	37	126
gene-YBR242W	473	323	205	763
gene-YBR243C	92	225	28	151
gene-YBR244W	35	52	44	108
gene-YBR245C	215	471	84	298
gene-YBR246W	233	384	69	362
gene-YBR247C	162	209	570	1782
gene-YBR248C	68	121	187	508
gene-YBR249C	490	1107	496	1525
gene-YBR250W	23	17	2	9
gene-YBR251W	178	335	56	175
gene-YBR252W	9	111	31	151
gene-YBR253W	204	321	75	265
gene-YBR254C	28	69	36	143
gene-YBR255W	520	598	27	146
gene-YBR255C-A	647	454	28	84
gene-YBR256C	847	939	123	536
gene-YBR257W	180	175	98	330
gene-YBR258C	46	78	11	51
gene-YBR259W	101	111	48	191
gene-YBR260C	272	324	54	210
gene-YBR261C	63	198	115	479
gene-YBR262C	413	960	56	230
gene-YBR263W	1691	1826	258	957
gene-YBR264C	220	241	36	146
gene-YBR265W	781	861	179	601
gene-YBR267W	94	101	372	1137
gene-YBR266C	0	0	0	0
gene-YBR268W	172	262	29	107
gene-YBR269C	4460	2728	78	188
gene-YBR270C	194	120	66	202
gene-YBR271W	138	116	154	506
gene-YBR272C	562	406	38	127
gene-YBR273C	1512	1460	63	259
gene-YBR274W	412	404	53	190
gene-YBR275C	108	386	13	62
gene-YBR276C	645	651	99	345
gene-YBR278W	221	389	18	85
gene-YBR279W	781	930	217	780
gene-YBR280C	2800	1333	37	92
gene-YBR281C	151	166	102	301
gene-YBR282W	208	287	58	209
gene-YBR283C	762	929	373	1575
gene-YBR284W	61	51	7	32
gene-YBR285W	181	212	7	11
gene-YBR286W	9226	8860	301	1201
gene-YBR287W	5215	3038	256	726
gene-YBR288C	69	208	61	248
gene-YBR289W	308	403	33	157
gene-YBR290W	1654	1120	166	641
gene-YBR291C	63	72	83	263
gene-YBR292C	14	5	1	4
gene-YBR293W	189	150	46	132
gene-YBR294W	135	76	61	150
gene-YBR295W	407	420	37	120
gene-YBR296C	12958	2728	134	168
gene-YBR296C-A	24	9	0	0
gene-YBR297W	738	692	48	152
gene-YBR298C	62108	27894	865	1155
gene-YBR298C-A	3	2	0	0
gene-YBR299W	11174	10155	172	420
gene-YBR301W	19	25	1	2
gene-YBR302C	60	58	3	13
gene-YCL075W	0	0	0	0
gene-YCL074W	1	0	0	0
gene-YCL073C	0	1	0	0
gene-YCL069W	0	0	0	0
gene-YCL068C	0	0	0	0
gene-YCL067C	0	0	0	0
gene-YCL066W	0	0	0	0
gene-YCL064C	3809	5365	50	207
gene-YCL063W	82	188	36	182
gene-YCL061C	112	382	5	27
gene-YCL059C	288	418	476	1587
gene-YCL058C	64	134	12	46
gene-YCL058W-A	0	0	0	0
gene-YCL057C-A	1131	2078	153	468
gene-YCL057W	478	973	39	188
gene-YCL056C	506	380	30	114
gene-YCL055W	206	372	26	139
gene-YCL054W-A	2	6	1	1
gene-YCL054W	131	160	653	1873
gene-YCL052C	1996	1949	83	299
gene-YCL051W	528	574	80	311
gene-YCL050C	993	1598	209	734
gene-YCL049C	484	801	145	343
gene-YCL048W-A	49	18	2	0
gene-YCL048W	60	42	2	6
gene-YCL047C	23	46	47	226
gene-YCL045C	400	511	179	624
gene-YCL044C	222	429	66	252
gene-YCL043C	3498	5943	271	1172
gene-YCL042W	9	12	1	4
gene-YCL040W	16372	18200	211	706
gene-YCL039W	595	397	28	109
gene-YCL038C	640	289	16	71
gene-YCL037C	18	21	25	73
gene-YCL036W	36	77	303	1051
gene-YCL035C	7389	8230	193	794
gene-YCL034W	1500	1704	74	404
gene-YCL033C	943	996	15	78
gene-YCL032W	605	690	43	188
gene-YCL031C	609	508	455	1737
gene-YCL030C	671	1295	346	1166
gene-YCL029C	119	252	68	221
gene-YCL028W	1602	1689	118	393
gene-YCL027W	52	54	6	26
gene-YCL026C-B	23	133	146	480
gene-YCL026C-A	26	27	38	88
gene-YCL025C	3445	5368	1546	3754
gene-YCL024W	30	104	11	9
gene-YNCC0001C	0	0	0	0
gene-YCL021W-A	5	9	1	4
gene-YCL020W	0	0	0	0
gene-YCL019W	0	1	0	0
gene-YNCC0002W	0	0	0	0
gene-YCL018W	482	631	1029	2080
gene-YCL017C	2205	2003	219	660
gene-YCL016C	125	177	30	150
gene-YCL014W	234	283	16	82
gene-YCL012C	965	597	24	105
gene-YCL011C	1211	1439	423	1574
gene-YCL010C	279	269	41	174
gene-YCL009C	2893	2464	255	1029
gene-YCL008C	140	229	20	125
gene-YCL005W-A	536	815	177	723
gene-YNCC0003C	25	67	13	45
gene-YCL005W	92	144	55	232
gene-YCL004W	271	329	20	82
gene-YCL002C	136	197	75	299
gene-YCL001W	196	380	55	270
gene-YCL001W-A	31	12	5	9
gene-YCL001W-B	35	27	5	10
gene-YCR001W	5	10	2	12
gene-YCR002C	543	1221	98	456
gene-YCR003W	21	125	23	97
gene-YCR004C	4049	4021	59	230
gene-YCR005C	21078	6943	265	802
gene-YCR006C	99	46	4	22
gene-YNCC0004C	7	2	3	1
gene-YCR007C	515	290	29	143
gene-YNCC0005W	0	0	0	0
gene-YCR008W	842	1011	325	1197
gene-YCR009C	2471	3436	142	523
gene-YCR010C	12725	2109	96	46
gene-YCR011C	863	955	20	177
gene-YCR012W	71086	89575	2025	8619
gene-YCR014C	146	100	50	188
gene-YCR015C	105	199	32	89
gene-YNCC0006C	111	244	19	73
gene-YNCC0007C	0	0	0	0
gene-YCR016W	68	168	288	1127
gene-YCR017C	1033	1029	148	468
gene-YCR018C	9	10	6	55
gene-YNCC0008W	0	0	0	1
gene-YNCC0009C	0	0	0	1
gene-YCR019W	147	247	64	201
gene-YCR020C	106	126	24	140
gene-YCR020C-A	152	154	29	110
gene-YCR020W-B	72	138	76	311
gene-YCR021C	195864	187260	1976	5077
gene-YCR022C	1	5	1	5
gene-YCR023C	1852	3032	86	337
gene-YCR024C	76	123	42	105
gene-YCR024C-B	1185	1565	721	2589
gene-YCR024C-A	934	1166	571	2115
gene-YCR025C	7	12	4	29
gene-YCR026C	1131	903	195	498
gene-YCR027C	69	192	62	161
gene-YNCC0010C	0	0	0	0
gene-YCR028C	232	248	82	350
gene-YCR028C-A	1965	2609	142	693
gene-YCR030C	1197	1280	52	238
gene-YNCC0011W	1	1	8	19
gene-YCR031C	2079	4019	3054	12216
gene-YNCC0012C	4	28	0	4
gene-YCR032W	478	447	55	196
gene-YCR033W	1300	1500	215	655
gene-YCR034W	102	372	91	380
gene-YCR035C	202	280	310	968
gene-YCR036W	456	540	87	315
gene-YCR037C	1223	1064	131	472
gene-YCR038C	85	96	17	69
gene-YCR039C	0	0	0	0
gene-YCR040W	0	0	0	0
gene-YCR041W	0	0	0	0
gene-YCR042C	306	323	95	331
gene-YNCC0015W	2	1	2	2
gene-YCR043C	35	100	82	338
gene-YCR044C	37	83	37	153
gene-YCR045C	48	103	12	70
gene-YCR046C	143	628	37	178
gene-YCR047C	466	486	443	1502
gene-YCR048W	158	102	119	350
gene-YCR050C	1	0	0	1
gene-YCR051W	566	462	209	834
gene-YCR052W	243	381	115	418
gene-YCR053W	645	1079	596	2067
gene-YCR054C	42	48	61	266
gene-YCR057C	123	237	658	2044
gene-YCR059C	333	385	104	281
gene-YCR060W	228	233	34	91
gene-YCR061W	214	210	21	54
gene-YNCC0013W	0	0	0	0
gene-YCR063W	17	19	24	52
gene-YCR065W	19	49	28	147
gene-YCR066W	69	89	26	88
gene-YCR067C	141	233	60	217
gene-YCR068W	973	489	96	177
gene-YCR069W	1966	1330	87	334
gene-YCR071C	326	632	29	147
gene-YCR072C	32	46	447	1559
gene-YCR073C	164	161	69	216
gene-YCR073W-A	1287	1154	53	265
gene-YCR075C	107	199	5	31
gene-YCR075W-A	38	66	6	35
gene-YCR076C	845	639	52	159
gene-YCR077C	756	882	148	487
gene-YCR079W	896	699	58	210
gene-YCR081W	241	235	24	76
gene-YCR082W	837	692	44	204
gene-YCR083W	1872	1015	54	127
gene-YCR084C	1178	1971	468	1690
gene-YCR085W	2	4	0	0
gene-YCR086W	90	178	31	65
gene-YCR087C-A	30	178	275	964
gene-YCR088W	1117	2122	49	223
gene-YCR089W	94	89	9	45
gene-YCR090C	269	429	30	174
gene-YCR091W	1322	1117	15	54
gene-YCR092C	63	91	68	255
gene-YCR093W	1048	1015	120	491
gene-YCR094W	215	318	47	184
gene-YCR095C	395	457	38	157
gene-YCR095W-A	22	19	4	6
gene-YCR096C	1	1	0	0
gene-YCR097W	894	704	68	258
gene-YNCC0014W	0	0	0	0
gene-YCR098C	924	967	12	36
gene-YCR099C	17	12	0	2
gene-YCR100C	24	22	0	1
gene-YCR101C	18	7	0	4
gene-YCR102C	253	213	8	8
gene-YCR104W	15	10	1	1
gene-YCR105W	81	66	6	18
gene-YCR106W	103	102	16	43
gene-YCR107W	75	78	5	38
gene-YCR108C	0	0	0	0
gene-YDL248W	241	221	13	58
gene-YDL247W	50	18	1	3
gene-YDL246C	0	0	0	0
gene-YDL245C	4	3	0	0
gene-YDL244W	11	11	0	2
gene-YDL243C	56	41	6	17
gene-YDL242W	12	17	2	7
gene-YDL241W	18	73	13	40
gene-YDL240W	62	106	15	53
gene-YDL239C	283	170	8	26
gene-YDL238C	504	352	7	12
gene-YDL237W	819	959	49	184
gene-YDL236W	242	728	108	460
gene-YDL235C	186	335	167	737
gene-YDL234C	7501	4919	98	283
gene-YDL233W	473	492	36	147
gene-YDL232W	73	250	46	166
gene-YDL231C	1106	894	247	894
gene-YDL230W	158	235	55	223
gene-YDL229W	788	3185	2785	8300
gene-YDL227C	0	3	2	4
gene-YDL226C	83	305	60	365
gene-YDL225W	178	442	117	481
gene-YDL224C	214	210	72	348
gene-YDL223C	14033	1039	103	133
gene-YDL222C	6814	2330	78	107
gene-YDL220C	95	190	15	60
gene-YDL219W	41	214	35	124
gene-YDL218W	37	23	2	28
gene-YDL217C	85	177	55	174
gene-YDL216C	117	151	15	44
gene-YDL215C	7657	5901	114	279
gene-YDL214C	331	239	32	155
gene-YDL213C	168	376	557	1687
gene-YDL212W	498	850	268	1096
gene-YDL211C	1	7	6	15
gene-YNCD0001W	0	0	0	0
gene-YDL210W	56	29	4	12
gene-YDL209C	48	32	95	335
gene-YDL208W	378	566	1174	4402
gene-YDL207W	399	488	107	448
gene-YDL206W	150	104	37	162
gene-YDL205C	83	132	86	292
gene-YDL204W	2877	1327	45	86
gene-YDL203C	267	231	91	291
gene-YDL202W	69	341	50	259
gene-YDL201W	93	156	348	1122
